asin,date_at,buybox_price
B001B0V5GG,2018-11-05 11:52:00,12.7500
B001B0V5GG,2018-11-05 13:00:00,12.6900
B001B0V5GG,2018-11-05 14:10:00,12.6300
B001B0V5GG,2018-11-05 15:20:00,12.6800
B001B0V5GG,2018-11-05 16:44:00,12.6700
B001B0V5GG,2018-11-05 20:08:00,12.8100
B001B0V5GG,2018-11-05 21:48:00,11.2100
B001B0V5GG,2018-11-06 00:16:00,12.8100
B001B0V5GG,2018-11-06 02:04:00,12.6000
B001B0V5GG,2018-11-06 03:04:00,12.5900
B001B0V5GG,2018-11-06 03:58:00,12.5700
B001B0V5GG,2018-11-06 04:56:00,12.5800
B001B0V5GG,2018-11-06 05:56:00,12.5300
B001B0V5GG,2018-11-06 06:44:00,12.5200
B001B0V5GG,2018-11-06 10:24:00,12.5000
B001B0V5GG,2018-11-06 13:00:00,12.4400
B001B0V5GG,2018-11-06 14:40:00,12.3200
B001B0V5GG,2018-11-06 16:24:00,12.3600
B001B0V5GG,2018-11-06 18:22:00,12.3500
B001B0V5GG,2018-11-07 18:26:00,10.9900
B001B0V5GG,2018-11-09 07:28:00,12.9900
B001B0V5GG,2018-11-09 16:00:00,12.9800
B001B0V5GG,2018-11-09 21:24:00,12.9900
B001B0V5GG,2018-11-10 00:02:00,12.9800
B001B0V5GG,2018-11-10 08:04:00,12.6700
B001B0V5GG,2018-11-10 08:54:00,12.9900
B001B0V5GG,2018-11-10 22:22:00,12.7000
B001B0V5GG,2018-11-11 00:32:00,12.9900
B001B0V5GG,2018-11-11 02:42:00,12.6600
B001B0V5GG,2018-11-11 03:46:00,12.9900
B001B0V5GG,2018-11-11 10:48:00,12.6200
B001B0V5GG,2018-11-11 12:22:00,12.5800
B001B0V5GG,2018-11-11 14:08:00,12.5400
B001B0V5GG,2018-11-11 15:32:00,12.4700
B001B0V5GG,2018-11-11 20:56:00,12.4400
B001B0V5GG,2018-11-11 21:48:00,12.4700
B001B0V5GG,2018-11-12 07:08:00,12.4400
B001B0V5GG,2018-11-12 07:56:00,12.9900
B001B0V5GG,2018-11-12 09:40:00,12.7000
B001B0V5GG,2018-11-12 11:20:00,12.6500
B001B0V5GG,2018-11-12 12:12:00,12.6300
B001B0V5GG,2018-11-12 14:00:00,12.6000
B001B0V5GG,2018-11-12 15:44:00,12.5600
B001B0V5GG,2018-11-12 18:16:00,12.4700
B001B0V5GG,2018-11-12 20:52:00,12.1500
B001B0V5GG,2018-11-12 21:44:00,12.1300
B001B0V5GG,2018-11-12 22:36:00,11.9700
B001B0V5GG,2018-11-12 23:24:00,12.4500
B001B0V5GG,2018-11-13 00:12:00,11.3500
B001B0V5GG,2018-11-13 07:48:00,12.3600
B001B0V5GG,2018-11-13 08:40:00,12.4500
B001B0V5GG,2018-11-13 09:28:00,12.4100
B001B0V5GG,2018-11-13 12:00:00,12.3900
B001B0V5GG,2018-11-13 15:20:00,12.3700
B001B0V5GG,2018-11-13 18:02:00,12.3200
B001B0V5GG,2018-11-13 18:56:00,12.3000
B001B0V5GG,2018-11-13 19:48:00,12.2800
B001B0V5GG,2018-11-13 21:34:00,12.2600
B001B0V5GG,2018-11-14 00:08:00,12.2200
B001B0V5GG,2018-11-14 01:06:00,12.0400
B001B0V5GG,2018-11-14 02:48:00,11.9800
B001B0V5GG,2018-11-14 03:36:00,11.9200
B001B0V5GG,2018-11-14 07:46:00,12.2100
B001B0V5GG,2018-11-14 09:26:00,12.1800
B001B0V5GG,2018-11-14 11:12:00,12.0700
B001B0V5GG,2018-11-14 12:52:00,12.0300
B001B0V5GG,2018-11-14 15:30:00,11.9400
B001B0V5GG,2018-11-14 19:40:00,11.9200
B001B0V5GG,2018-11-14 20:36:00,11.9000
B001B0V5GG,2018-11-14 21:28:00,11.8600
B001B0V5GG,2018-11-14 22:20:00,11.8400
B001B0V5GG,2018-11-15 00:52:00,11.8000
B001B0V5GG,2018-11-15 01:48:00,11.7600
B001B0V5GG,2018-11-15 09:28:00,11.6300
B001B0V5GG,2018-11-15 13:08:00,11.5800
B001B0V5GG,2018-11-15 20:58:00,11.4200
B001B0V5GG,2018-11-15 23:24:00,11.3900
B001B0V5GG,2018-11-16 00:16:00,11.3700
B001B0V5GG,2018-11-16 10:24:00,11.4400
B001B0V5GG,2018-11-16 15:32:00,11.3800
B001B0V5GG,2018-11-16 16:12:00,11.3700
B001B0V5GG,2018-11-16 17:48:00,11.3500
B001B0V5GG,2018-11-17 10:24:00,11.3300
B001B0V5GG,2018-11-17 16:24:00,11.2500
B001B0V5GG,2018-11-17 18:28:00,11.2400
B001B0V5GG,2018-11-17 20:16:00,11.2200
B001B0V5GG,2018-11-18 02:12:00,11.1900
